156	22.51	52.60	1.02	31	64
157	22.52	52.58	1.02	31	65
158	22.50	52.49	1.02	31	68
159	22.51	52.43	1.02	31	62
160	22.52	52.37	1.02	32	69
161	22.53	52.33	1.02	31	61
162	22.54	52.28	1.02	31	67
163	22.54	52.20	1.02	31	64
164	22.54	52.12	1.02	31	66
165	22.53	52.05	1.02	31	66
166	22.51	51.99	1.02	31	64
167	22.49	51.93	1.02	32	68
168	22.48	51.93	1.02	31	62
169	22.49	51.91	1.02	31	69
170	22.48	51.91	1.02	31	53
171	22.47	51.87	1.02	32	68
172	22.46	51.82	1.02	31	64
173	22.45	51.77	1.02	31	65
174	22.43	51.71	1.02	32	63
175	22.42	51.67	1.02	31	55
176	22.42	51.66	1.02	31	68
177	22.41	51.65	1.02	31	61
178	22.42	51.60	1.02	31	68
179	22.42	51.59	1.02	31	63
180	22.43	51.54	1.02	31	66
181	22.42	51.55	1.02	32	67
182	22.42	51.53	1.02	31	63
183	22.41	51.53	1.02	31	69
184	22.41	51.52	1.02	31	61
185	22.41	51.52	1.02	32	68
186	22.40	51.51	1.02	31	62
187	22.40	51.50	1.02	31	67
188	22.41	51.49	1.02	32	66
189	22.40	51.45	1.02	32	65
190	22.40	51.46	1.02	31	68
191	22.39	51.54	1.02	31	63
